genus.species,common.name,trait,estimate,gender,region,reference,database,lengthType,comments
Sebastolobus alascanus,shortspine thornyhead,adultSubstrate,"muddy, hard, near rocks or gravel, biogenic structure",both,GoA,,2015 Stock Assessment,,
Sebastolobus alascanus,shortspine thornyhead,depthRange,100-800,both,N Pacific,Allen & Smith 1988,REEM,,
Sebastolobus alascanus,shortspine thornyhead,depthMax,800,both,N Pacific,Allen & Smith 1988,REEM,,
Sebastolobus alascanus,shortspine thornyhead,depthRange,100-850,both,N Pacific,Orr et al. 1998,REEM,,
Sebastolobus alascanus,shortspine thornyhead,depthMax,850,both,N Pacific,Orr et al. 1998,REEM,,
Sebastolobus alascanus,shortspine thornyhead,age50percentMaturity,11,f,Alaska,Pearson and Gunderson 2003 ,REEM,,
Sebastolobus alascanus,shortspine thornyhead,age50percentMaturity,12,both,SE Alaska,Miller 1985,2015 Stock Assessment,,
Sebastolobus alascanus,shortspine thornyhead,length50percentMaturity,21.5,f,GoA,Pearson & Gunderson 2003,2015 Stock Assessment,,
Sebastolobus alascanus,shortspine thornyhead,length50percentMaturity,22,f,GoA,Witherell 2000,REEM,,
Sebastolobus alascanus,shortspine thornyhead,length50percentMaturity,21.5,f,Alaska,Pearson and Gunderson 2003 ,REEM,,
Sebastolobus alascanus,shortspine thornyhead,length50percentMaturity,22.8,f,SE Alaska,Miller 1985,REEM,,
Sebastolobus alascanus,shortspine thornyhead,Linfinity,72.8,u,California,Butler et al. 1995,fishbase,,
Sebastolobus alascanus,shortspine thornyhead,K,0.02,u,California,Butler et al. 1995,fishbase,,
Squalus acanthias,piked dogfish,diet,"G, B",both,GoA,,REEM Groundfish Diet Database,,
Squalus acanthias,piked dogfish,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Squalus acanthias,piked dogfish,trophicPosition,4.3,both,GoA,Aydin et al. 2007,,,
Squalus acanthias,piked dogfish,firstMaturityLength,70-100,f,unknown,,fishbase,,
Squalus acanthias,piked dogfish,firstMaturityLength,55+,m,NE Atlantic,,fishbase,,
Squalus acanthias,piked dogfish,firstMaturityLength,69-73,f,NE Atlantic,,fishbase,,
Squalus acanthias,piked dogfish,firstMaturityLength,59-72,m,unknown,,fishbase,,
Squalus acanthias,piked dogfish,firstMaturityLength,59+,m,Australia,,fishbase,,
Squalus acanthias,piked dogfish,firstMaturityLength,58,m,New Zealand,,fishbase,TL,
Squalus acanthias,piked dogfish,firstMaturityLength,59.5,m,NE USA,,fishbase,TL,
Squalus acanthias,piked dogfish,firstMaturityLength,73,f,New Zealand,,fishbase,TL,
Squalus acanthias,piked dogfish,firstMaturityLength,74,f,Ireland,,fishbase,TL,
Squalus acanthias,piked dogfish,firstMaturityLength,75,f,Ireland,,fishbase,TL,
Squalus acanthias,piked dogfish,firstMaturityLength,77,u,NW Atlantic,,fishbase,TL,
Squalus acanthias,piked dogfish,firstMaturityLength,79,f,NW Atlantic,,fishbase,,
Squalus acanthias,piked dogfish,firstMaturityLength,79.9,f,NE USA,,fishbase,,
Squalus acanthias,piked dogfish,firstMaturityLength,80,u,NW Atlantic,,fishbase,TL,
Squalus acanthias,piked dogfish,firstMaturityLength,82,f,Scotland,,fishbase,,
Squalus acanthias,piked dogfish,firstMaturityLength,83,f,"Scotland, Norway",,fishbase,TL,
Squalus acanthias,piked dogfish,firstMaturityLength,83,f,"Scotland, Norway",,fishbase,,
Squalus acanthias,piked dogfish,firstMaturityLength,92,f,NE Pacific,Bonham et al. 1949,fishbase,TL,
Squalus acanthias,piked dogfish,firstMaturityLength,93.5,f,NE Pacific,Gauld 1979,fishbase,TL,
Squalus acanthias,piked dogfish,firstMaturityAge,10.0-20.0,f,unknown,,fishbase,,
Squalus acanthias,piked dogfish,firstMaturityAge,up to 12,f,Chesapeake Bay,,fishbase,,
Squalus acanthias,piked dogfish,firstMaturityAge,11+,m,unknown,,fishbase,,
Squalus acanthias,piked dogfish,firstMaturityAge,7.0-8.0,f,NW Atlantic,,fishbase,,
Squalus acanthias,piked dogfish,firstMaturityAge,7.0-15.0,f,Scotland,,fishbase,,
Squalus acanthias,piked dogfish,lengthMaximum,160,both,,,fishbase,TL,
Squalus acanthias,piked dogfish,lengthMaximum,125,both,GoA,Tribuzio & Kruse 2012,2015 Stock Assessment,TL,
Squalus acanthias,piked dogfish,lengthMaximum,122,f,GoA,AFSC trawl survey,REEM,,
Squalus acanthias,piked dogfish,lengthMaximum,160,u,unknown,Compagno 1984,REEM,,
Squalus acanthias,piked dogfish,ageMaximum,75,both,,,fishbase,,
Squalus acanthias,piked dogfish,ageMaximum,100,both,GoA,Tribuzio & Kruse 2012,2015 Stock Assessment,,
Squalus acanthias,piked dogfish,ageMaximum,70,u,British Columbia,Beamish and McFarlane 1985,REEM,,
Squalus acanthias,piked dogfish,K,0.03,f,GoA,Tribuzio et al. 2010,2015 Stock Assessment,,
Squalus acanthias,piked dogfish,K,0.06,m,GoA,Tribuzio et al. 2010,2015 Stock Assessment,,
Squalus acanthias,piked dogfish,K,0.07,m,Strait of Georgia,Jones and Geen 1977a ,REEM,,
Squalus acanthias,piked dogfish,K,0.036,f,Strait of Georgia,Jones and Geen 1977a ,REEM,,
Squalus acanthias,piked dogfish,K,0.067,m,Strait of Georgia,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,K,0.034,f,Strait of Georgia,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,K,0.044,f,Strait of Georgia,Saunders and McFarlane 1993 ,REEM,,
Squalus acanthias,piked dogfish,K,0.092,m,Hecate Strait,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,K,0.031,f,Hecate Strait,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,K,0.071,m,Washington,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,K,0.036,f,Washington,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,K,0.071,m,Washington,Bonham et al. 1949 ,REEM,,
Squalus acanthias,piked dogfish,K,0.036,f,Washington,Bonham et al. 1949 ,REEM,,
Squalus acanthias,piked dogfish,Linfinity,132,f,GoA,Tribuzio et al. 2010,2015 Stock Assessment,TL,
Squalus acanthias,piked dogfish,Linfinity,93.7,m,GoA,Tribuzio et al. 2010,2015 Stock Assessment,TL,
Squalus acanthias,piked dogfish,Linfinity,97.3,m,Strait of Georgia,Jones and Geen 1977a ,REEM,,
Squalus acanthias,piked dogfish,Linfinity,128.5,f,Strait of Georgia,Jones and Geen 1977a ,REEM,,
Squalus acanthias,piked dogfish,Linfinity,96.1,m,Strait of Georgia,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,Linfinity,129.1,f,Strait of Georgia,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,Linfinity,114.94,f,Strait of Georgia,Saunders and McFarlane 1993 ,REEM,,
Squalus acanthias,piked dogfish,Linfinity,84.7,m,Hecate Strait,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,Linfinity,125.1,f,Hecate Strait,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,Linfinity,101.8,m,Washington,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,Linfinity,152.9,f,Washington,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,Linfinity,101.8,m,Washington,Bonham et al. 1949 ,REEM,,
Squalus acanthias,piked dogfish,Linfinity,152.9,f,Washington,Bonham et al. 1949 ,REEM,,
Squalus acanthias,piked dogfish,adultWaterColumnPosition,benthopelagic,both,,,fishbase,,
Squalus acanthias,piked dogfish,adultSlopeShelf,"shelf, upper slope",both,GoA,,2015 Stock Assessment,,
Squalus acanthias,piked dogfish,migratoryStatus,oceanadromous,both,,,fishbase,,
Squalus acanthias,piked dogfish,temperatureLower,7,both,,,fishbase,,
Squalus acanthias,piked dogfish,temperatureUpper,15,both,,,fishbase,,
Squalus acanthias,piked dogfish,depthRange,10-200,both,,,fishbase,,
Squalus acanthias,piked dogfish,depthMax,200,both,,,fishbase,,
Squalus acanthias,piked dogfish,depthRange,0-350,both,N Pacific,Allen & Smith 1988,REEM,,
Squalus acanthias,piked dogfish,depthMax,350,both,N Pacific,Allen & Smith 1988,REEM,,
Squalus acanthias,piked dogfish,age50percentMaturity,17,m,Hecate Strait,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,age50percentMaturity,34,f,Hecate Strait,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,age50percentMaturity,16,m,Strait of Georgia,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,age50percentMaturity,31,f,Strait of Georgia,Ketchen 1975 ,REEM,,
Squalus acanthias,piked dogfish,age50percentMaturity,19,m,Strait of Georgia,Jones and Geen 1977b ,REEM,,
Squalus acanthias,piked dogfish,age50percentMaturity,29,f,Strait of Georgia,Jones and Geen 1977b ,REEM,,
Squalus acanthias,piked dogfish,age50percentMaturity,35.5,f,Strait of Georgia,Saunders and McFarlane 1993 ,REEM,,
Squalus acanthias,piked dogfish,length50percentMaturity,72,m,British Columbia,Ketchen 1972 ,REEM,,
Squalus acanthias,piked dogfish,length50percentMaturity,93.5,f,British Columbia,Ketchen 1972 ,REEM,,
Squalus acanthias,piked dogfish,length50percentMaturity,78.5,m,Strait of Georgia,Jones and Geen 1977b ,REEM,,
Squalus acanthias,piked dogfish,length50percentMaturity,93.5,f,Strait of Georgia,Jones and Geen 1977b ,REEM,,
Squalus acanthias,piked dogfish,length50percentMaturity,93.9,f,Strait of Georgia,Saunders and McFarlane 1993 ,REEM,,
Squalus acanthias,piked dogfish,length50percentMaturity,72,m,Washington,Bonham et al. 1949 ,REEM,,
Squalus acanthias,piked dogfish,length50percentMaturity,92,f,Washington,Bonham et al. 1949,REEM,,
Thaleichthys pacificus,eulachon,diet,"I, C",both,GoA,,REEM Groundfish Diet Database,,
Thaleichthys pacificus,eulachon,guild,P,both,GoA,,REEM Groundfish Diet Database,,
Thaleichthys pacificus,eulachon,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Thaleichthys pacificus,eulachon,firstMaturityLength,15-16,u,Bering Sea,Fadeev 2005,fishbase,,
Thaleichthys pacificus,eulachon,firstMaturityAge,3+,u,British Columbia,,fishbase,,
Thaleichthys pacificus,eulachon,firstMaturityAge,2.0-3.0,u,unknown,,fishbase,,
Thaleichthys pacificus,eulachon,firstMaturityAge,4.0-5.0,u,Bering Sea,,fishbase,,
Thaleichthys pacificus,eulachon,firstMaturityAge,3+,u,"British Columbia, Fraser & Skeena Rivers",,fishbase,,
Thaleichthys pacificus,eulachon,firstMaturityAge,2+,u,"Washington, Columbia River",,fishbase,,
Thaleichthys pacificus,eulachon,firstMaturityAge,4+,u,"Alaska, Copper River",,fishbase,,
Thaleichthys pacificus,eulachon,lengthMaximum,34,both,,,fishbase,TL,
Thaleichthys pacificus,eulachon,lengthMaximum,24,both,GoA,AFSC trawl survey,REEM,,
Thaleichthys pacificus,eulachon,lengthMaximum,25,both,E Bering,AFSC trawl survey,REEM,,
Thaleichthys pacificus,eulachon,ageMaximum,5,both,,,fishbase,,
Thaleichthys pacificus,eulachon,ageMaximum,5,u,British Columbia,Hay and McCarter 2000 ,REEM,,
Thaleichthys pacificus,eulachon,adultWaterColumnPosition,pelagic-neritic,both,,,fishbase,,
Thaleichthys pacificus,eulachon,adultSlopeShelf,"nearshore, coastal inlets & rivers",both,,,fishbase,,
Thaleichthys pacificus,eulachon,migratoryStatus,anadromous,both,,,fishbase,,
Thaleichthys pacificus,eulachon,depthRange,0-300,both,N Pacific,Allen & Smith 1988,REEM,,
Thaleichthys pacificus,eulachon,depthMax,300,both,N Pacific,Allen & Smith 1988,REEM,,
Thaleichthys pacificus,eulachon,Linfinity,19.3,u,British Columbia,,fishbase,FL,
Thaleichthys pacificus,eulachon,K,0.34,u,British Columbia,,fishbase,,
Theragra chalcogramma,walleye pollock,diet,I,both,GoA,,REEM Groundfish Diet Database,,
Theragra chalcogramma,walleye pollock,guild,P,both,GoA,,REEM Groundfish Diet Database,,
Theragra chalcogramma,walleye pollock,trophicPosition,3.7,both,GoA,Aydin et al. 2007,,,
Theragra chalcogramma,walleye pollock,lengthConversionFLtoTL,1.106,both,,,fishbase,,
Theragra chalcogramma,walleye pollock,firstMaturityLength,30-38,u,NE Pacific,,fishbase,,
Theragra chalcogramma,walleye pollock,firstMaturityLength,30.5,m,GoA,Hughes & Hirschhorn 1979,fishbase,FL,
Theragra chalcogramma,walleye pollock,firstMaturityLength,32.5,f,GoA,Hughes & Hirschhorn 1979,fishbase,FL,
Theragra chalcogramma,walleye pollock,firstMaturityLength,33,m,"W Bering, Russia",,fishbase,FL,
Theragra chalcogramma,walleye pollock,firstMaturityLength,34,m,Sea of Okhotsk,,fishbase,FL,
Theragra chalcogramma,walleye pollock,firstMaturityLength,35,f,"W Bering, Russia",,fishbase,FL,
Theragra chalcogramma,walleye pollock,firstMaturityLength,36,f,Sea of Okhotsk,,fishbase,FL,
Theragra chalcogramma,walleye pollock,firstMaturityLength,37,u,Kamchatka,,fishbase,TL,
Theragra chalcogramma,walleye pollock,firstMaturityLength,39,f,Bering Sea & Aleutian Islands,Witherell 1996,fishbase,,
Theragra chalcogramma,walleye pollock,firstMaturityLength,40,m,Kamchatka,,fishbase,FL,
Theragra chalcogramma,walleye pollock,firstMaturityLength,42,f,Kamchatka,,fishbase,FL,
Theragra chalcogramma,walleye pollock,firstMaturityAge,3.0-4.0,u,NE Pacific,,fishbase,,
Theragra chalcogramma,walleye pollock,firstMaturityAge,5.0-6.0,u,Sea of Okhotsk,,fishbase,,
Theragra chalcogramma,walleye pollock,firstMaturityAge,3.0-5.0,u,Japan,,fishbase,,
Theragra chalcogramma,walleye pollock,lengthMaximum,91,both,,,fishbase,TL,
Theragra chalcogramma,walleye pollock,lengthMaximum,105,f,GoA,AFSC trawl survey,REEM,,
Theragra chalcogramma,walleye pollock,lengthMaximum,109,f,E Bering,AFSC trawl survey,REEM,,
Theragra chalcogramma,walleye pollock,ageMaximum,28,both,,,fishbase,,
Theragra chalcogramma,walleye pollock,ageMaximum,31,m,GoA,AFSC trawl survey,REEM,,
Theragra chalcogramma,walleye pollock,K,0.3,both,GoA,,2015 Stock Assessment,,
Theragra chalcogramma,walleye pollock,K,0.289,both,Aleutian Islands,Barbeaux et al. 2004 (samples collected in 2002),REEM,,
Theragra chalcogramma,walleye pollock,K,0.306,both,Aleutian Islands,Barbeaux et al. 2004 (samples collected in 2000),REEM,,
Theragra chalcogramma,walleye pollock,K,0.286,both,Aleutian Islands,Barbeaux et al. 2004 (samples collected in 1997),REEM,,
Theragra chalcogramma,walleye pollock,Linfinity,65.2,both,GoA,,2015 Stock Assessment,,
Theragra chalcogramma,walleye pollock,Linfinity,64.36,both,Aleutian Islands,Barbeaux et al. 2004 (samples collected in 2002),REEM,,
Theragra chalcogramma,walleye pollock,Linfinity,62.58,both,Aleutian Islands,Barbeaux et al. 2004 (samples collected in 2000),REEM,,
Theragra chalcogramma,walleye pollock,Linfinity,61.41,both,Aleutian Islands,Barbeaux et al. 2004 (samples collected in 1997),REEM,,
Theragra chalcogramma,walleye pollock,adultWaterColumnPosition,benthopelagic,both,,,fishbase,,
Theragra chalcogramma,walleye pollock,migratoryStatus,n,both,,,fishbase,,
Theragra chalcogramma,walleye pollock,depthRange,0-300,both,N Pacific,Allen & Smith 1988,REEM,,
Theragra chalcogramma,walleye pollock,depthMax,300,both,N Pacific,Allen & Smith 1988,REEM,,
Theragra chalcogramma,walleye pollock,age50percentMaturity,3,m,GoA,Hughes and Hirschhorn 1979 ,REEM,,
Theragra chalcogramma,walleye pollock,age50percentMaturity,3,f,GoA,Hughes and Hirschhorn 1979 ,REEM,,
Theragra chalcogramma,walleye pollock,age50percentMaturity,5,f,GoA,Dorn et al. 2002 ,REEM,,
Theragra chalcogramma,walleye pollock,age50percentMaturity,3.7-6.1,f,GoA,Dorn et al. 2002 ,REEM,,
Theragra chalcogramma,walleye pollock,age50percentMaturity,3.0-4.0,f,GoA,DiCosmo and Kimball 2001 ,REEM,,
Theragra chalcogramma,walleye pollock,length50percentMaturity,29-32,m,GoA,Hughes and Hirschhorn 1979 ,REEM,,
Theragra chalcogramma,walleye pollock,length50percentMaturity,30-35,f,GoA,Hughes and Hirschhorn 1979 ,REEM,,
Theragra chalcogramma,walleye pollock,length50percentMaturity,35-47,f,GoA,Dorn et al. 2002 ,REEM,,
Theragra chalcogramma,walleye pollock,length50percentMaturity,30-34,f,GoA,DiCosmo and Kimball 2001 ,REEM,,
Zaprora silenus,prowfish,diet,"I, C",both,GoA,,REEM Groundfish Diet Database,,
Zaprora silenus,prowfish,guild,P,both,GoA,,REEM Groundfish Diet Database,,
Zaprora silenus,prowfish,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Zaprora silenus,prowfish,firstMaturityLength,57,both,,,fishbase,,
Zaprora silenus,prowfish,lengthMaximum,88,both,,,fishbase,TL,
Zaprora silenus,prowfish,lengthMaximum,97,u,GoA,AFSC trawl survey,REEM,,
Zaprora silenus,prowfish,ageMaximum,9,both,,,fishbase,,
Zaprora silenus,prowfish,ageMaximum,20,f,E Bering,Smith et al. 2004,REEM,,
Zaprora silenus,prowfish,adultWaterColumnPosition,demersal,both,,,fishbase,,
Zaprora silenus,prowfish,temperatureLower,0,both,,,fishbase,,
Zaprora silenus,prowfish,temperatureUpper,4,both,,,fishbase,,
Zaprora silenus,prowfish,depthRange,0-350,both,N Pacific,Allen & Smith 1988,REEM,,
Zaprora silenus,prowfish,depthMax,350,both,N Pacific,Allen & Smith 1988,REEM,,
Zaprora silenus,prowfish,depthRange,0-200,both,E Bering,Smith et al. 2004,REEM,,
Zaprora silenus,prowfish,depthMax,200,both,E Bering,Smith et al. 2004,REEM,,
Zaprora silenus,prowfish,depthRange,0-400,both,Kamchatka,Tokranov 1999,REEM,,
Zaprora silenus,prowfish,depthMax,400,both,Kamchatka,Tokranov 1999,REEM,,
Zaprora silenus,prowfish,Linfinity,89.33,both,E Bering,Smith et al. 2004,REEM,,
Zaprora silenus,prowfish,K,0.181,both,E Bering,Smith et al. 2004,REEM,,
Zaprora silenus,prowfish,age50percentMaturity,5.1,f,GoA & Aleutian Islands,Smith et al. 2004,REEM,,
Zaprora silenus,prowfish,length50percentMaturity,57,f,GoA & Aleutian Islands,Smith et al. 2004,REEM,,
